greV,greQ,greA,cgpa,univName
150,161,3.5,0.84,North Carolina State University
153,167,4.5,0.927,North Carolina State University
151,167,4,0.842,North Carolina State University
156,164,3.5,0.65,New York University
144,162,3,0.68,New Jersey Institute of Technology
130,157.4468085,3.5,0.63,New Jersey Institute of Technology
130,168.0851064,2.5,0.668,New Jersey Institute of Technology
148,152,3,0.748,New Jersey Institute of Technology
149,151,3,0.64,New Jersey Institute of Technology
141,156,2.5,0.76,New Jersey Institute of Technology
158,164,4,0.716,New Jersey Institute of Technology
144,161,3,0.592,New Jersey Institute of Technology
130,170.212766,1330,0.72,New Jersey Institute of Technology
145,163,3,0.631,New Jersey Institute of Technology
130,163.8297872,3.5,0.75,Johns Hopkins University
130,170.212766,3.5,0.722,Johns Hopkins University
152,162,0,0.82,Johns Hopkins University
148,161,4,0.789,Johns Hopkins University
160,168,4,0.949,Georgia Institute of Technology
152,167,3.5,0.901,Georgia Institute of Technology
154,166,3.5,0.78,George Mason University
130,163.8297872,3,0.7,George Mason University
157,160,3.5,0.864,Cornell University
156,166,4,0.786,Clemson University
130,170.212766,4.5,0.745,Clemson University
151,166,3.5,0.82,Clemson University
150,159,3.5,0.0819,Clemson University
158,156,4.5,0.642,Clemson University
152,161,4.5,0.82,Clemson University
153,160,3,0.819,Clemson University
131.9148936,157.4468085,4,0.721,Clemson University
151.0638298,170.212766,3.5,0.76,Clemson University
147,163,4,0.729,Carnegie Mellon University
153,164,4.5,0.822,Carnegie Mellon University
148.9361702,165.9574468,4,0.874,Carnegie Mellon University
37,47,5.5,0.81,Carnegie Mellon University
153,163,3,0.715,Carnegie Mellon University
148,164,3.5,0.781,Arizona State University
152,167,3.5,0.901,Arizona State University
130,170.212766,4,0.773,Arizona State University
147,163,4,0.729,Arizona State University
159,151,3.5,0.793,Arizona State University
160,150,3.5,0.71,Arizona State University
131.9148936,163.8297872,3.5,0.724,Arizona State University
160,167,4,0.806,Arizona State University
152,159,3,0.834,Arizona State University
152,158,4,0.84,Arizona State University
136.1702128,170.212766,4,0.773,Arizona State University
144.6808511,170.212766,4.5,0.832,Arizona State University
153,164,4,0.888,Arizona State University
130,161.7021277,4,0.802,Arizona State University
149,164,3,0.72,Arizona State University
148,165,0,0.0959,Arizona State University
149,159,4,0.775,Arizona State University
152,163,3.5,0.79,Arizona State University
138.2978723,170.212766,3.5,0.886,Arizona State University
148,165,3,0.74,Arizona State University
150,161,3.5,0.84,Arizona State University
153,167,4.5,0.927,Arizona State University
163,158,3,0.857,Arizona State University
134.0425532,159.5744681,4,0.769,Arizona State University
143,155,3,0.836,Wayne State University
130,159.5744681,3.5,0.91,University of Wisconsin Madison
151,164,3,0.61,University of Washington
152,158,3.5,0.808,University of Washington
155,167,4,0.882,University of Utah
153,162,3,0.852,University of Utah
140,162,3,0.883,University of Texas Dallas
147,162,4,0.78,University of Texas Dallas
144.6808511,170.212766,4.5,0.806,University of Texas Dallas
157,167,3.5,0.755,University of Texas Dallas
130,163.8297872,3.5,0.758,University of Texas Dallas
130,159.5744681,4,0.836,University of Texas Dallas
130,142.5531915,3,0.696,University of Texas Dallas
150,157,3.5,0.832,University of Texas Dallas
146,158,4,0.691,University of Texas Dallas
155,168,4,0.879,University of Texas Dallas
151,162,3,0.748,University of Texas Dallas
146,160,3,0.701,University of Texas Dallas
153,162,3,0.852,University of Texas Dallas
130,161.7021277,3.5,0.72,University of Texas Dallas
157,164,4.5,0.88,University of Texas Dallas
143,155,3,0.836,University of Texas Dallas
130,161.7021277,3.5,0.72,University of Texas Arlington
143,155,3,0.836,University of Texas Arlington
149,165,3,0.903,University of Southern California
157,163,5,0.898,University of Southern California
130,168.0851064,3,0.86,University of Southern California
155,168,4,0.879,University of Southern California
157,164,4.5,0.88,University of Southern California
155,168,4,0.879,University of North Carolina Charlotte
147,163,3.5,0.81,University of North Carolina Charlotte
130,165.9574468,3,0.703,University of North Carolina Charlotte
130,168.0851064,3,0.86,University of Minnesota Twin Cities
155,161,3.5,0.92,University of Minnesota Twin Cities
130,155.3191489,4,0.894,University of Minnesota Twin Cities
158,167,4,0.911,University of Minnesota Twin Cities
157,163,5,0.898,University of Massachusetts Amherst
130,168.0851064,3,0.86,University of Massachusetts Amherst
157,163,5,0.898,University of Maryland College Park
130,155.3191489,3.5,0.773,University of Illinois Chicago
31,47,4.5,0.64,University of Illinois Chicago
152,158,3.5,0.808,University of Illinois Chicago
158,162,4,0.81,University of Florida
157,163,5,0.898,University of Florida
130,170.212766,3.5,0.854,University of Florida
130,155.3191489,3.5,0.773,University of Colorado Boulder
157,163,5,0.898,University of Colorado Boulder
150,157,0,0.76,University of Cincinnati
149,160,3,0.735,University of Cincinnati
130,159.5744681,3.5,0.91,University of Cincinnati
31,50,5,0.832,University of Cincinnati
130,168.0851064,0,0.892,University of Cincinnati
157,163,5,0.898,University of Arizona
31,50,5,0.832,University of Arizona
31,50,5,0.832,Texas A and M University College Station
131.9148936,157.4468085,5,0.872,Syracuse University
151,162,3,0.748,Syracuse University
157,164,4.5,0.88,Syracuse University
26,49,5,0.0846,Syracuse University
136.1702128,170.212766,3.5,0.864,SUNY Stony Brook
149,165,3,0.903,SUNY Stony Brook
131.9148936,163.8297872,4,0.725,SUNY Stony Brook
147,162,4,0.78,SUNY Buffalo
136.1702128,170.212766,3.5,0.864,SUNY Buffalo
149,165,3,0.903,SUNY Buffalo
131.9148936,163.8297872,4,0.725,SUNY Buffalo
149,163,3.5,0.728,SUNY Buffalo
157,163,5,0.898,SUNY Buffalo
31,47,4.5,0.64,SUNY Buffalo
131.9148936,157.4468085,5,0.872,SUNY Buffalo
155,168,4,0.879,SUNY Buffalo
151,167,4,0.72,SUNY Buffalo
31,50,5,0.832,SUNY Buffalo
130,161.7021277,3.5,0.72,SUNY Buffalo
155,160,4,0.68,SUNY Buffalo
144.6808511,170.212766,4.5,0.806,Rutgers University New Brunswick/Piscataway
158,166,3,0.804,Rutgers University New Brunswick/Piscataway
130,159.5744681,3.5,0.91,Rutgers University New Brunswick/Piscataway
157,163,5,0.898,Ohio State University Columbus
152,161,3.5,0.916,Ohio State University Columbus
155,160,4.5,0.771,Northeastern University
152,163,4,0.835,Northeastern University
151,162,4,0.732,Northeastern University
151,167,4,0.72,Northeastern University
145,155,3,0.805,Northeastern University
147,163,3.5,0.81,Northeastern University
149,165,3,0.903,North Carolina State University
130,159.5744681,4,0.836,North Carolina State University
157,163,5,0.898,North Carolina State University
130,168.0851064,3,0.86,North Carolina State University
158,166,3,0.804,North Carolina State University
151,167,4,0.72,North Carolina State University
157,163,5,0.898,New York University
130,142.5531915,3,0.696,New Jersey Institute of Technology
130,142.5531915,3,0.614,New Jersey Institute of Technology
158,165,3.5,0.721,Clemson University
151,162,4,0.732,Carnegie Mellon University
151,162,3.5,0.732,Carnegie Mellon University
158,162,4,0.81,Arizona State University
130,155.3191489,3.5,0.773,Arizona State University
130,159.5744681,4,0.836,Arizona State University
152,161,3.5,0.916,Arizona State University
158,166,3,0.804,Arizona State University
157,164,4.5,0.88,Arizona State University
142,161,3,0.86,Arizona State University
155,160,4,0.68,Arizona State University
157,161,3.5,0.967,Arizona State University
130,157.4468085,3.5,0.87,University of Texas Dallas
152,155,3,0.78,University of Southern California
130,151.0638298,3,0.82,University of North Carolina Charlotte
130,151.0638298,3,0.82,University of Cincinnati
130,148.9361702,3,0.793,University of Wisconsin Madison
130,148.9361702,3,0.793,University of Texas Dallas
130,148.9361702,3,0.793,Georgia Institute of Technology
145,164,3,0.756,Wayne State University
143,162,3,0.7354,University of Texas Dallas
140,160,3,0.82,University of Texas Dallas
156,164,4,0,University of Texas Dallas
153,162,3.5,0.814,University of Texas Dallas
130,161.7021277,4,0.726,University of Texas Dallas
130,161.7021277,4,0.75,University of Texas Dallas
144,157,3,0.78,University of Texas Dallas
147,163,3,0.843,University of Texas Dallas
130,168.0851064,4,0.787,University of Texas Dallas
144,165,3,0.77,University of Texas Austin
140,160,3,0.82,University of Texas Arlington
141,157,3,0.686,University of Texas Arlington
144,159,3,0.81,University of Texas Arlington
140,162,3,0.775,University of Texas Arlington
130,159.5744681,3,0.86,University of Southern California
130,163.8297872,4,0.77,University of Pennsylvania
142,156,3,0.81,University of North Carolina Charlotte
144,167,3,0.75,University of North Carolina Charlotte
130,227.6595745,3.5,0.801,University of North Carolina Charlotte
146,160,2.5,0.71,University of North Carolina Charlotte
148,157,3,0.73,University of Maryland College Park
150,163,4,0.84,University of Illinois Chicago
130,163.8297872,3,0.7632,University of Illinois Chicago
153,162,3.5,0.814,University of Illinois Chicago
130,162,0,0.86,University of Cincinnati
156,164,4,0,University of Cincinnati
130,161.7021277,3.5,0.851,University of Cincinnati
130,163.8297872,3,0.7632,University of Cincinnati
130,168.0851064,4,0.787,University of Cincinnati
148,157,3,0.73,University of Arizona
130,163.8297872,3,0.7632,University of Arizona
130,168.0851064,4,0.787,University of Arizona
